dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,False
cutout,False
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.31854,0.4379
1,0.51474,0.5567
2,0.62924,0.6097
3,0.70576,0.6754
4,0.75562,0.7033
5,0.79716,0.7693
6,0.83054,0.7272
7,0.85538,0.7794
8,0.87122,0.7923
9,0.88184,0.7998
10,0.89722,0.7779
11,0.90544,0.7701
12,0.9113,0.7951
13,0.91914,0.7757
14,0.92142,0.7745
15,0.92504,0.777
16,0.93064,0.7861
17,0.92646,0.787
18,0.9333,0.7757
19,0.93532,0.7956
20,0.93426,0.7676
21,0.937,0.7821
22,0.9363,0.8011
23,0.93736,0.7778
24,0.93822,0.7623
25,0.9369,0.7856
26,0.94284,0.7826
27,0.94238,0.8092
28,0.9407,0.7584
29,0.9421,0.796
30,0.9428,0.8118
31,0.94154,0.7701
32,0.9419,0.7979
33,0.9446,0.8001
34,0.9443,0.7819
35,0.9432,0.8018
36,0.94684,0.7562
37,0.9409,0.7922
38,0.94704,0.802
39,0.94672,0.7981
40,0.94432,0.8053
41,0.94642,0.8142
42,0.94632,0.799
43,0.94564,0.7946
44,0.94546,0.775
45,0.94828,0.8132
46,0.94572,0.7907
47,0.94688,0.7928
48,0.94612,0.7989
49,0.94682,0.8011
50,0.94704,0.8159
51,0.94684,0.7949
52,0.9459,0.8206
53,0.9466,0.774
54,0.95094,0.8027
55,0.94656,0.81
56,0.949,0.8011
57,0.94836,0.7886
58,0.94874,0.8184
59,0.94766,0.7685
60,0.99064,0.877
61,0.99978,0.8801
62,0.99998,0.8806
63,1.0,0.8809
64,1.0,0.8818
65,1.0,0.8819
66,1.0,0.8822
67,1.0,0.8841
68,1.0,0.8835
69,1.0,0.8845
70,1.0,0.8835
71,1.0,0.8847
72,1.0,0.8848
73,1.0,0.8849
74,1.0,0.8854
75,1.0,0.8859
76,1.0,0.8862
77,1.0,0.887
78,1.0,0.886
79,1.0,0.8865
80,1.0,0.887
81,1.0,0.8872
82,1.0,0.8877
83,1.0,0.8872
84,1.0,0.8882
85,1.0,0.8884
86,1.0,0.888
87,1.0,0.8883
88,1.0,0.8878
89,1.0,0.8889
90,1.0,0.8893
91,1.0,0.8896
92,1.0,0.8892
93,1.0,0.8906
94,1.0,0.8901
95,1.0,0.8905
96,1.0,0.8901
97,1.0,0.8878
98,1.0,0.8885
99,1.0,0.8887
100,1.0,0.8895
101,1.0,0.8881
102,1.0,0.891
103,0.92924,0.5148
104,0.74888,0.7956
105,0.86282,0.7994
106,0.92264,0.8282
107,0.95728,0.8105
108,0.97254,0.8259
109,0.98086,0.8349
110,0.98514,0.8233
111,0.99018,0.8384
112,0.99284,0.8239
113,0.99536,0.8359
114,0.99676,0.852
115,0.99748,0.8478
116,0.99848,0.8569
117,0.99954,0.8678
118,0.99996,0.871
119,1.0,0.8725
120,1.0,0.8739
121,1.0,0.8718
122,1.0,0.8736
123,1.0,0.8737
124,1.0,0.8731
125,1.0,0.8738
126,1.0,0.8746
127,1.0,0.8742
128,1.0,0.8748
129,1.0,0.8751
130,1.0,0.875
131,1.0,0.8748
132,1.0,0.8756
133,1.0,0.8757
134,1.0,0.8752
135,1.0,0.8752
136,1.0,0.8761
137,1.0,0.8762
138,1.0,0.8758
139,1.0,0.8748
140,1.0,0.8752
141,1.0,0.8747
142,1.0,0.8771
143,1.0,0.8759
144,1.0,0.8759
145,1.0,0.876
146,1.0,0.876
147,1.0,0.877
148,1.0,0.877
149,1.0,0.8766
150,1.0,0.8759
151,1.0,0.8764
152,1.0,0.8778
153,1.0,0.8765
154,1.0,0.8774
155,1.0,0.8776
156,1.0,0.8762
157,1.0,0.8777
158,1.0,0.8766
159,1.0,0.8768
160,1.0,0.8764
161,1.0,0.8758
162,1.0,0.8765
163,1.0,0.8761
164,1.0,0.8772
165,1.0,0.8759
166,1.0,0.8772
167,1.0,0.8755
168,1.0,0.8767
169,1.0,0.877
170,1.0,0.8768
171,1.0,0.877
172,1.0,0.8761
173,1.0,0.8766
174,1.0,0.8777
175,1.0,0.8775
176,1.0,0.8761
177,1.0,0.8765
178,1.0,0.8786
179,1.0,0.8752
180,1.0,0.8769
181,1.0,0.8762
182,1.0,0.8751
183,1.0,0.8786
184,1.0,0.8773
185,1.0,0.877
186,1.0,0.877
187,1.0,0.8765
188,1.0,0.8774
189,1.0,0.8776
190,1.0,0.8775
191,1.0,0.8768
192,1.0,0.8771
193,1.0,0.8771
194,1.0,0.8765
195,1.0,0.8761
196,1.0,0.8784
197,1.0,0.8771
198,1.0,0.8773
199,1.0,0.8772
