dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,True
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.27194,0.4012
1,0.42216,0.5007
2,0.51462,0.5515
3,0.57834,0.6236
4,0.62076,0.5573
5,0.65546,0.5891
6,0.68748,0.7129
7,0.71516,0.7785
8,0.73764,0.748
9,0.7518,0.7861
10,0.75938,0.7628
11,0.76754,0.7501
12,0.7757,0.7566
13,0.78368,0.7556
14,0.788,0.8001
15,0.79124,0.7529
16,0.79442,0.8107
17,0.798,0.7635
18,0.80082,0.7865
19,0.80458,0.8181
20,0.8072,0.7943
21,0.8094,0.8251
22,0.80854,0.8311
23,0.81326,0.8057
24,0.81436,0.8182
25,0.81808,0.8193
26,0.81908,0.8271
27,0.81926,0.7964
28,0.81858,0.7941
29,0.8208,0.7865
30,0.82326,0.8427
31,0.82242,0.8177
32,0.82348,0.839
33,0.82446,0.8188
34,0.82794,0.7808
35,0.82652,0.855
36,0.82774,0.8052
37,0.82756,0.8461
38,0.82774,0.8162
39,0.82586,0.8106
40,0.82924,0.7813
41,0.83038,0.8559
42,0.8288,0.8402
43,0.83124,0.8344
44,0.82778,0.8332
45,0.83232,0.8526
46,0.83088,0.7605
47,0.8322,0.8152
48,0.83324,0.7932
49,0.83332,0.8357
50,0.8321,0.8281
51,0.83498,0.7916
52,0.83584,0.8334
53,0.83366,0.8621
54,0.83404,0.8265
55,0.83374,0.8174
56,0.83648,0.7881
57,0.83646,0.7651
58,0.83588,0.8586
59,0.83532,0.8593
60,0.89186,0.9202
61,0.90616,0.9221
62,0.91286,0.9249
63,0.91546,0.926
64,0.91966,0.9301
65,0.92132,0.9267
66,0.9203,0.9301
67,0.92102,0.9153
68,0.92138,0.9298
69,0.91992,0.9245
70,0.9214,0.9193
71,0.92162,0.9159
72,0.92182,0.9278
73,0.9191,0.9159
74,0.91986,0.9118
75,0.92102,0.9087
76,0.91926,0.9293
77,0.9198,0.9136
78,0.91966,0.9274
79,0.9191,0.9176
80,0.92036,0.9179
81,0.91998,0.9109
82,0.92084,0.9185
83,0.91812,0.9205
84,0.92196,0.9121
85,0.91838,0.9239
86,0.92156,0.9221
87,0.92244,0.9119
88,0.92218,0.9128
89,0.92148,0.9193
90,0.92132,0.9186
91,0.92314,0.9158
92,0.92202,0.9116
93,0.92276,0.9161
94,0.92408,0.9106
95,0.92274,0.919
96,0.92196,0.9282
97,0.92314,0.9172
98,0.92594,0.9155
99,0.92276,0.9116
100,0.92358,0.9251
101,0.92578,0.917
102,0.9257,0.9109
103,0.9252,0.918
104,0.9243,0.9205
105,0.92498,0.9236
106,0.927,0.9236
107,0.9261,0.918
108,0.92618,0.8988
109,0.92626,0.9234
110,0.9272,0.9146
111,0.92852,0.9104
112,0.92886,0.9211
113,0.92684,0.91
114,0.92734,0.9172
115,0.93096,0.9124
116,0.9284,0.92
117,0.9286,0.9147
118,0.92826,0.9168
119,0.92938,0.9177
120,0.95472,0.9488
121,0.96396,0.9505
122,0.9688,0.9512
123,0.96942,0.9542
124,0.97036,0.9532
125,0.97184,0.9539
126,0.97172,0.9531
127,0.97374,0.9531
128,0.97362,0.9528
129,0.97476,0.9536
130,0.97458,0.9547
131,0.97602,0.9548
132,0.97626,0.9525
133,0.97656,0.9541
134,0.97588,0.9527
135,0.97676,0.9517
136,0.97762,0.9528
137,0.9779,0.951
138,0.97784,0.9502
139,0.97776,0.9528
140,0.9781,0.9537
141,0.97844,0.9518
142,0.978,0.9521
143,0.97852,0.9514
144,0.97864,0.9524
145,0.9779,0.9521
146,0.97902,0.9534
147,0.97828,0.9525
148,0.97894,0.9554
149,0.97844,0.953
150,0.97914,0.951
151,0.97928,0.9496
152,0.97956,0.9516
153,0.97798,0.9493
154,0.97942,0.9515
155,0.97772,0.9484
156,0.9784,0.9487
157,0.97708,0.9527
158,0.97922,0.9518
159,0.97762,0.9522
160,0.98254,0.9555
161,0.98614,0.9565
162,0.98694,0.9581
163,0.98714,0.9567
164,0.98736,0.9563
165,0.98794,0.9585
166,0.98854,0.9586
167,0.98896,0.9575
168,0.98838,0.9567
169,0.98796,0.9578
170,0.989,0.9583
171,0.98794,0.9565
172,0.98958,0.9589
173,0.9891,0.9587
174,0.98844,0.959
175,0.98868,0.9586
176,0.98966,0.9587
177,0.98998,0.9587
178,0.98982,0.9577
179,0.98978,0.9591
180,0.99064,0.9593
181,0.99072,0.9588
182,0.99148,0.9603
183,0.99058,0.9597
184,0.99014,0.9598
185,0.99098,0.959
186,0.9907,0.9595
187,0.99046,0.959
188,0.99038,0.958
189,0.99044,0.959
190,0.99134,0.9583
191,0.99086,0.9599
192,0.99172,0.9595
193,0.99056,0.9582
194,0.99118,0.9588
195,0.99052,0.959
196,0.99054,0.9597
197,0.99116,0.9586
198,0.99138,0.9595
199,0.9905,0.9601
