dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
no_cuda,False
seed,0
beta,1.0
salmix_prob,0.5
cuda,True
""
epoch,train_acc,test_acc
0,24.848,38.48
1,37.936,45.57
2,46.43,55.98
3,50.958000000000006,56.510000000000005
4,55.326,65.39
5,58.888,70.57
6,62.79,72.71
7,65.36800000000001,76.55
8,66.47800000000001,74.22999999999999
9,67.368,76.18
10,67.47800000000001,71.96000000000001
11,68.074,75.91
12,70.314,78.28
13,69.202,80.55
14,70.056,80.5
15,69.92,78.06
16,70.702,79.89
17,71.04,82.69999999999999
18,71.54,83.28999999999999
19,70.324,80.80000000000001
20,71.87400000000001,72.41
21,73.184,80.87
22,72.332,82.11
23,74.08200000000001,76.44999999999999
24,73.588,80.55
25,71.91199999999999,84.04
26,73.072,79.74
27,72.35000000000001,79.52
28,72.812,80.32000000000001
29,74.42,84.00999999999999
30,74.788,81.15
31,73.29599999999999,82.80999999999999
32,72.938,84.13000000000001
33,72.734,81.78
34,72.456,81.85
35,74.322,77.36
36,73.824,76.95
37,74.06,82.3
38,74.322,80.86
39,73.57000000000001,75.68
40,72.89999999999999,84.85000000000001
41,74.318,83.89999999999999
42,74.164,82.78
43,75.224,82.6
44,74.414,85.66
45,73.114,82.05
46,73.896,76.99000000000001
47,74.166,80.25999999999999
48,73.542,85.94000000000001
49,73.756,81.67999999999999
50,73.356,85.21
51,74.48599999999999,81.56
52,74.362,81.58
53,75.33800000000001,83.25
54,74.978,84.36
55,75.208,84.05
56,75.442,86.45
57,75.412,86.26
58,76.414,79.47
59,75.008,85.87
60,75.568,77.23
61,78.52,91.62
62,80.262,91.52
63,80.348,92.67
64,80.636,92.22
65,82.09,92.99
66,82.0,92.2
67,81.194,92.25
68,81.646,92.5
69,80.22399999999999,92.08
70,80.578,91.96
71,80.72399999999999,92.29
72,81.232,92.35
73,81.54,91.89
74,81.762,91.38
75,81.99600000000001,90.86999999999999
76,82.232,89.96
77,82.922,90.7
78,82.988,91.47
79,82.64399999999999,91.57
80,81.98,92.23
81,81.488,92.08
82,81.89999999999999,90.64999999999999
83,82.516,90.5
84,83.066,90.45
85,83.382,90.86999999999999
86,81.526,89.63
87,81.258,91.13
88,81.19,90.93
89,83.488,91.66
90,84.286,92.07
91,80.75,92.51
92,83.02199999999999,91.92
93,82.744,91.13
94,82.21000000000001,92.85
95,83.28,92.57
96,82.274,91.97
97,81.524,92.11
98,81.774,91.06
99,82.69,91.99000000000001
100,84.56,91.2
101,82.03200000000001,92.31
102,82.352,90.99000000000001
103,83.756,92.02
104,82.218,91.7
105,83.82,92.21000000000001
106,83.028,91.56
107,83.616,91.32000000000001
108,83.10600000000001,91.83
109,81.596,92.83
110,81.384,91.92
111,82.56,92.10000000000001
112,82.53,90.16999999999999
113,82.994,91.58
114,81.866,92.16
115,82.788,91.57
116,82.798,91.86999999999999
117,84.206,90.94
118,80.052,92.4
119,84.99,92.34
120,80.934,90.82000000000001
121,85.832,94.66
122,86.286,94.88
123,86.88,94.78999999999999
124,85.824,95.25
125,86.152,95.34
126,87.232,95.1
127,86.374,95.17999999999999
128,84.568,95.45
129,88.262,95.33
130,86.42,95.00999999999999
131,87.852,95.36
132,86.55199999999999,95.22
133,86.226,95.26
134,85.81800000000001,95.39999999999999
135,86.248,95.49
136,87.746,95.33
137,87.092,95.47
138,85.988,95.17999999999999
139,87.488,95.38
140,88.346,95.53
141,87.144,95.33
142,87.908,95.39999999999999
143,87.458,95.39
144,89.576,95.58
145,88.046,95.46
146,87.334,95.22
147,86.406,95.12
148,88.89399999999999,94.98
149,88.63799999999999,95.19
150,85.752,95.45
151,86.332,95.15
152,86.456,95.33
153,87.35000000000001,95.27
154,88.454,95.5
155,88.122,94.69999999999999
156,88.124,95.15
157,90.488,95.30999999999999
158,86.846,94.67
159,89.50200000000001,94.97
160,88.79599999999999,95.19
161,88.278,95.52000000000001
162,87.646,95.63000000000001
163,88.20599999999999,95.77
164,88.53999999999999,95.7
165,89.762,95.92
166,89.862,96.03
167,89.27199999999999,95.89999999999999
168,87.942,95.88
169,89.088,95.78
170,89.46600000000001,95.86
171,90.494,95.81
172,86.60799999999999,95.84
173,88.24,95.82000000000001
174,87.408,95.78
175,88.466,95.94
176,87.47,95.81
177,86.67399999999999,95.76
178,89.256,95.8
179,89.55,95.97
180,89.628,95.93
181,86.706,95.74000000000001
182,86.396,95.98
183,87.78399999999999,95.97
184,86.714,95.88
185,89.398,95.96000000000001
186,88.16199999999999,95.67
187,88.076,95.99
188,89.126,95.91
189,89.218,95.96000000000001
190,88.518,95.96000000000001
191,88.652,95.93
192,88.6,95.77
193,89.366,95.83
194,88.858,95.89999999999999
195,89.306,95.93
196,89.91,95.82000000000001
197,90.00399999999999,95.83
198,90.22200000000001,95.86
199,90.644,95.84
