dataset,cifar10
model,resnet50
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,False
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.16592,0.2084
1,0.2854,0.3503
2,0.36774,0.3941
3,0.45214,0.4931
4,0.55426,0.5674
5,0.61844,0.6437
6,0.66292,0.6023
7,0.69192,0.6553
8,0.7201,0.6289
9,0.74296,0.7132
10,0.75856,0.6782
11,0.77594,0.7323
12,0.788,0.7453
13,0.80112,0.7651
14,0.8075,0.7546
15,0.81322,0.7225
16,0.81978,0.7828
17,0.82628,0.7758
18,0.8322,0.7829
19,0.8329,0.7893
20,0.83502,0.795
21,0.83962,0.7896
22,0.8446,0.7076
23,0.84836,0.7893
24,0.8464,0.7818
25,0.85202,0.7829
26,0.85158,0.7184
27,0.85476,0.7805
28,0.85774,0.7879
29,0.85928,0.7976
30,0.85702,0.8119
31,0.85994,0.8206
32,0.86102,0.7744
33,0.86414,0.791
34,0.8647,0.7763
35,0.86174,0.7848
36,0.86736,0.8077
37,0.8671,0.8194
38,0.86756,0.7475
39,0.87038,0.8237
40,0.86882,0.7945
41,0.86946,0.817
42,0.87106,0.7586
43,0.8732,0.7354
44,0.87356,0.7512
45,0.87508,0.7647
46,0.87458,0.8337
47,0.87616,0.7804
48,0.87364,0.7983
49,0.87626,0.7848
50,0.87458,0.7215
51,0.87668,0.7966
52,0.8771,0.8223
53,0.87692,0.7755
54,0.87614,0.7484
55,0.87874,0.7805
56,0.87528,0.7329
57,0.87926,0.8036
58,0.87732,0.8327
59,0.87778,0.8169
60,0.88064,0.8256
61,0.93344,0.9229
62,0.95018,0.9275
63,0.95436,0.9247
64,0.95884,0.9222
65,0.96048,0.9274
66,0.96232,0.9097
67,0.9608,0.9109
68,0.9618,0.9136
69,0.96172,0.9152
70,0.96084,0.9074
71,0.9605,0.9154
72,0.95998,0.9044
73,0.96286,0.9051
74,0.95946,0.908
75,0.96034,0.8982
76,0.96012,0.8918
77,0.95962,0.9005
78,0.95994,0.9109
79,0.95948,0.9029
80,0.9584,0.9113
81,0.95996,0.8898
82,0.96058,0.9092
83,0.95982,0.8927
84,0.95826,0.9013
85,0.95924,0.8953
86,0.95996,0.9001
87,0.96168,0.904
88,0.95872,0.908
89,0.96088,0.9066
90,0.9615,0.9069
91,0.96244,0.9043
92,0.96216,0.8969
93,0.96168,0.906
94,0.96414,0.9114
95,0.96158,0.8981
96,0.96304,0.9082
97,0.96344,0.9174
98,0.96318,0.9126
99,0.96464,0.906
100,0.96418,0.894
101,0.96374,0.8984
102,0.96486,0.8923
103,0.96488,0.9089
104,0.96602,0.9109
105,0.96458,0.9033
106,0.96638,0.896
107,0.96474,0.887
108,0.965,0.9116
109,0.96352,0.8923
110,0.96468,0.9081
111,0.96596,0.9066
112,0.96412,0.9021
113,0.96498,0.9038
114,0.96506,0.9135
115,0.96808,0.902
116,0.96586,0.9116
117,0.96714,0.9132
118,0.96676,0.9059
119,0.96706,0.9107
120,0.9662,0.9031
121,0.98914,0.9442
122,0.99556,0.9468
123,0.99634,0.9472
124,0.99754,0.9469
125,0.9981,0.9472
126,0.9984,0.9473
127,0.99858,0.9491
128,0.9988,0.9481
129,0.9989,0.9476
130,0.9992,0.9497
131,0.99906,0.9483
132,0.99918,0.9492
133,0.99932,0.9493
134,0.99914,0.9502
135,0.99934,0.9484
136,0.99946,0.9503
137,0.9995,0.9509
138,0.99956,0.9505
139,0.99938,0.9487
140,0.9993,0.9508
141,0.9996,0.9502
142,0.9995,0.9484
143,0.99956,0.9489
144,0.9995,0.9501
145,0.99926,0.949
146,0.9997,0.9488
147,0.9996,0.9488
148,0.9994,0.9497
149,0.99966,0.9503
150,0.9997,0.9508
151,0.99976,0.9496
152,0.99966,0.949
153,0.99972,0.9509
154,0.99956,0.9499
155,0.99936,0.9483
156,0.99934,0.9487
157,0.99952,0.9489
158,0.99962,0.9486
159,0.99952,0.9492
160,0.99956,0.9497
161,0.99966,0.9528
162,0.99994,0.9524
163,0.99984,0.9514
164,0.99988,0.9505
165,0.99986,0.9519
166,0.99986,0.953
167,0.99984,0.9529
168,0.99988,0.9522
169,0.99994,0.953
170,0.99996,0.9534
171,0.99992,0.9527
172,0.99988,0.952
173,0.9999,0.9522
174,0.99996,0.9526
175,0.99994,0.9526
176,0.99992,0.9523
177,0.99988,0.9533
178,0.99986,0.9532
179,0.99988,0.9536
180,0.99988,0.9535
181,0.99986,0.9544
182,0.99994,0.9536
183,0.99992,0.9535
184,1.0,0.9529
185,0.99994,0.9526
186,0.99988,0.9518
187,0.99992,0.9534
188,0.99998,0.9531
189,0.9999,0.9532
190,0.99992,0.9535
191,0.99992,0.9538
192,0.99994,0.954
193,0.99994,0.9529
194,0.99998,0.9535
195,0.99996,0.9538
196,0.99998,0.953
197,0.99996,0.9546
198,0.99996,0.9541
199,1.0,0.9536
