dataset,cifar10
model,resnet50
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,True
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.1268,0.1872
1,0.23132,0.2955
2,0.31478,0.373
3,0.375,0.4308
4,0.41732,0.4313
5,0.45806,0.5203
6,0.50326,0.564
7,0.56558,0.547
8,0.60638,0.6285
9,0.63184,0.5855
10,0.64938,0.5955
11,0.67364,0.634
12,0.69008,0.6599
13,0.70164,0.7414
14,0.71582,0.6791
15,0.72436,0.6965
16,0.73116,0.7161
17,0.73664,0.726
18,0.74426,0.6914
19,0.74724,0.7017
20,0.75184,0.7438
21,0.75488,0.7388
22,0.76052,0.7432
23,0.76668,0.6561
24,0.76572,0.7397
25,0.77352,0.7509
26,0.77682,0.7691
27,0.77442,0.797
28,0.78102,0.769
29,0.78168,0.7748
30,0.7863,0.7919
31,0.78488,0.7544
32,0.78918,0.7222
33,0.78884,0.7723
34,0.79334,0.7657
35,0.79356,0.8149
36,0.79536,0.7264
37,0.79502,0.8105
38,0.79744,0.7743
39,0.7973,0.8289
40,0.80224,0.7857
41,0.80134,0.7976
42,0.80144,0.8102
43,0.80436,0.8298
44,0.80666,0.8038
45,0.80802,0.8053
46,0.80806,0.8108
47,0.81132,0.7932
48,0.80938,0.7915
49,0.81034,0.7153
50,0.81034,0.7832
51,0.81068,0.7992
52,0.81296,0.7907
53,0.81446,0.7798
54,0.81262,0.7442
55,0.81064,0.7899
56,0.81256,0.7863
57,0.81528,0.778
58,0.81426,0.8291
59,0.81682,0.7906
60,0.81638,0.7848
61,0.87492,0.9104
62,0.89492,0.9124
63,0.89784,0.9203
64,0.90112,0.9189
65,0.90244,0.9234
66,0.90558,0.9214
67,0.9037,0.918
68,0.90526,0.9153
69,0.90574,0.9087
70,0.90422,0.9147
71,0.90546,0.9092
72,0.90366,0.8965
73,0.90652,0.912
74,0.9044,0.8992
75,0.90466,0.9114
76,0.90504,0.9101
77,0.90434,0.8996
78,0.90316,0.9124
79,0.9086,0.9089
80,0.90572,0.9157
81,0.90582,0.8996
82,0.90694,0.9095
83,0.90456,0.9126
84,0.9086,0.9157
85,0.90486,0.8924
86,0.90704,0.8812
87,0.9096,0.8961
88,0.90862,0.9017
89,0.90812,0.9121
90,0.91062,0.9091
91,0.90894,0.8992
92,0.9105,0.9228
93,0.91126,0.9172
94,0.91168,0.9141
95,0.91324,0.9185
96,0.91034,0.9089
97,0.9102,0.9072
98,0.91298,0.9087
99,0.91364,0.9109
100,0.91534,0.9111
101,0.91324,0.8968
102,0.9143,0.8974
103,0.91416,0.9162
104,0.91478,0.9073
105,0.91386,0.9141
106,0.91624,0.9085
107,0.91478,0.8946
108,0.91518,0.913
109,0.91652,0.9113
110,0.9167,0.903
111,0.91652,0.9175
112,0.91732,0.9078
113,0.91714,0.9165
114,0.91792,0.9248
115,0.91736,0.8985
116,0.91756,0.9138
117,0.91854,0.9113
118,0.91774,0.9162
119,0.91874,0.9309
120,0.92014,0.9033
121,0.95126,0.9457
122,0.95826,0.9505
123,0.96398,0.9512
124,0.9657,0.9523
125,0.96666,0.9541
126,0.9687,0.9546
127,0.96866,0.9549
128,0.96976,0.9533
129,0.97196,0.9543
130,0.97224,0.9523
131,0.97162,0.9506
132,0.97286,0.9551
133,0.97256,0.9494
134,0.97386,0.9548
135,0.97324,0.9517
136,0.97314,0.9532
137,0.97442,0.9489
138,0.97404,0.9512
139,0.97482,0.9525
140,0.9746,0.9528
141,0.97558,0.9515
142,0.9745,0.9505
143,0.97532,0.9533
144,0.9756,0.9509
145,0.97502,0.952
146,0.97554,0.951
147,0.975,0.9517
148,0.97586,0.9538
149,0.9767,0.9494
150,0.97584,0.9531
151,0.97438,0.9484
152,0.97592,0.9528
153,0.97598,0.9489
154,0.97588,0.9495
155,0.9757,0.9547
156,0.97466,0.9485
157,0.97414,0.9548
158,0.97452,0.9489
159,0.97616,0.9507
160,0.97546,0.9502
161,0.98216,0.9569
162,0.98512,0.9575
163,0.9869,0.9568
164,0.98662,0.9579
165,0.98726,0.9584
166,0.98686,0.9583
167,0.98816,0.96
168,0.98852,0.9607
169,0.98778,0.9584
170,0.98818,0.9586
171,0.98928,0.959
172,0.9884,0.9588
173,0.9883,0.96
174,0.98974,0.9601
175,0.98962,0.9596
176,0.98864,0.9586
177,0.98964,0.9591
178,0.98926,0.9603
179,0.98914,0.9589
180,0.99024,0.9587
181,0.99016,0.9605
182,0.99052,0.9601
183,0.98956,0.96
184,0.99074,0.9598
185,0.9894,0.9612
186,0.99108,0.9597
187,0.99082,0.959
188,0.98996,0.9599
189,0.98992,0.958
190,0.99038,0.9612
191,0.9904,0.9609
192,0.99074,0.9591
193,0.99104,0.9592
194,0.9912,0.9602
195,0.99068,0.9604
196,0.99128,0.9595
197,0.99118,0.9607
198,0.99102,0.9602
199,0.99076,0.96
