dataset,cifar10
model,wideresnet
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,False
n_holes,1
length,20
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.43736,0.5656
1,0.65974,0.6706
2,0.73858,0.6823
3,0.7819,0.7477
4,0.80622,0.8084
5,0.82304,0.8038
6,0.83234,0.7485
7,0.83884,0.8005
8,0.84892,0.8012
9,0.85246,0.7846
10,0.85954,0.8137
11,0.86286,0.8469
12,0.86658,0.8287
13,0.86964,0.8091
14,0.87018,0.7996
15,0.87432,0.8105
16,0.87588,0.8196
17,0.87918,0.8137
18,0.8795,0.8374
19,0.8826,0.8531
20,0.88254,0.7674
21,0.88562,0.8212
22,0.88676,0.7688
23,0.88908,0.8368
24,0.88902,0.8281
25,0.88948,0.8552
26,0.8911,0.8277
27,0.89144,0.8671
28,0.89138,0.8438
29,0.89372,0.8397
30,0.89304,0.8563
31,0.89494,0.8143
32,0.89496,0.8579
33,0.89676,0.8476
34,0.89466,0.8522
35,0.89662,0.8697
36,0.89584,0.8399
37,0.89764,0.8745
38,0.89632,0.8457
39,0.89784,0.8628
40,0.90138,0.8604
41,0.89914,0.8616
42,0.89888,0.8352
43,0.89832,0.7935
44,0.89878,0.8781
45,0.89918,0.8779
46,0.89904,0.8825
47,0.90098,0.8718
48,0.90068,0.8662
49,0.90184,0.8753
50,0.90088,0.8583
51,0.90274,0.8629
52,0.90254,0.8475
53,0.90138,0.8513
54,0.89936,0.8813
55,0.90276,0.8487
56,0.9016,0.8335
57,0.90246,0.8614
58,0.90232,0.8581
59,0.90458,0.8494
60,0.95296,0.9397
61,0.96654,0.9432
62,0.96988,0.9434
63,0.97198,0.9353
64,0.97486,0.9416
65,0.97704,0.9402
66,0.97546,0.9369
67,0.977,0.9249
68,0.97624,0.9349
69,0.9766,0.9376
70,0.97502,0.935
71,0.97484,0.9353
72,0.97324,0.9286
73,0.97404,0.9165
74,0.97308,0.9368
75,0.97108,0.933
76,0.97262,0.926
77,0.97414,0.922
78,0.97128,0.9338
79,0.9725,0.9129
80,0.97074,0.9225
81,0.97206,0.9285
82,0.97142,0.9339
83,0.96984,0.9244
84,0.97044,0.9242
85,0.9724,0.9269
86,0.97206,0.9336
87,0.97276,0.934
88,0.97104,0.9291
89,0.97078,0.9288
90,0.972,0.9334
91,0.9724,0.9233
92,0.97364,0.9181
93,0.97352,0.9257
94,0.97416,0.928
95,0.97284,0.9254
96,0.97104,0.9236
97,0.97196,0.9293
98,0.97498,0.9324
99,0.9732,0.9278
100,0.9753,0.9222
101,0.97222,0.9314
102,0.97308,0.9262
103,0.97532,0.92
104,0.97314,0.9292
105,0.97516,0.924
106,0.97304,0.9291
107,0.97294,0.925
108,0.97372,0.9324
109,0.97474,0.9209
110,0.97458,0.9269
111,0.97444,0.9234
112,0.97568,0.9242
113,0.97246,0.9263
114,0.97424,0.9168
115,0.97408,0.9235
116,0.9751,0.9253
117,0.9747,0.912
118,0.97466,0.9146
119,0.97646,0.9305
120,0.99198,0.953
121,0.99616,0.9534
122,0.99754,0.9548
123,0.99794,0.9587
124,0.99844,0.9579
125,0.99864,0.9578
126,0.99854,0.9564
127,0.99908,0.9574
128,0.99916,0.9575
129,0.99904,0.9585
130,0.99922,0.9565
131,0.99934,0.9574
132,0.99934,0.9597
133,0.99944,0.9581
134,0.99946,0.9582
135,0.99952,0.9586
136,0.99938,0.9578
137,0.99942,0.9585
138,0.99954,0.9602
139,0.99964,0.9592
140,0.99966,0.9584
141,0.99944,0.9609
142,0.99974,0.9609
143,0.9995,0.959
144,0.9996,0.9586
145,0.9995,0.9594
146,0.99964,0.9588
147,0.99962,0.96
148,0.9994,0.9597
149,0.99946,0.9573
150,0.99948,0.9587
151,0.99956,0.9589
152,0.99936,0.9548
153,0.99946,0.9572
154,0.99974,0.9579
155,0.99932,0.9576
156,0.99908,0.9594
157,0.99938,0.9572
158,0.99946,0.9577
159,0.99888,0.9582
160,0.99964,0.9597
161,0.99968,0.9602
162,0.99966,0.9606
163,0.99974,0.96
164,0.99978,0.9608
165,0.99976,0.9609
166,0.99974,0.9598
167,0.99986,0.9613
168,0.99984,0.961
169,0.99982,0.961
170,0.99984,0.9599
171,0.9998,0.9619
172,0.9999,0.9604
173,0.99988,0.9598
174,0.9999,0.9608
175,0.99992,0.9606
176,0.9998,0.9599
177,0.99986,0.9613
178,0.99976,0.9607
179,0.99982,0.9608
180,0.99992,0.9621
181,0.99986,0.962
182,0.99978,0.9612
183,0.99994,0.9608
184,0.99984,0.9616
185,0.99994,0.962
186,0.99986,0.961
187,0.99988,0.9623
188,0.99998,0.9618
189,0.99992,0.961
190,0.99988,0.961
191,0.99986,0.9615
192,0.99986,0.9626
193,0.9999,0.9616
194,0.9999,0.9623
195,0.99988,0.9628
196,0.9999,0.9623
197,0.99992,0.9605
198,0.9999,0.9613
199,0.99994,0.9617
