dataset,cifar10
model,wideresnet
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
no_cuda,False
seed,0
beta,1.0
salmix_prob,0.5
cuda,True
""
epoch,train_acc,test_acc
0,35.904,47.54
1,53.374,63.81
2,58.828,70.04
3,63.79,67.38
4,65.994,72.21
5,66.95,73.06
6,70.296,74.22999999999999
7,70.89800000000001,77.36
8,72.54599999999999,76.71
9,70.95,82.39999999999999
10,72.674,82.53
11,72.64399999999999,83.37
12,72.508,80.81
13,72.954,83.50999999999999
14,70.922,85.03
15,73.154,85.72
16,73.112,81.12
17,72.86399999999999,76.55999999999999
18,72.55,84.19
19,75.228,85.14
20,74.252,83.99
21,74.328,84.52
22,73.908,83.1
23,74.202,86.89
24,75.234,85.37
25,76.488,77.31
26,74.078,76.38000000000001
27,75.89,77.27000000000001
28,76.012,85.28999999999999
29,75.544,84.56
30,75.33,85.32
31,74.83999999999999,83.52000000000001
32,73.86,83.75
33,76.182,87.86
34,75.21799999999999,82.58
35,75.164,87.36
36,76.216,85.28999999999999
37,75.638,87.03
38,74.324,84.15
39,75.898,86.3
40,75.138,83.88
41,75.554,85.41
42,74.864,83.05
43,75.726,84.78
44,76.512,86.53
45,78.412,82.49
46,76.536,84.17
47,74.298,83.48
48,77.718,85.03
49,76.832,87.03
50,76.822,84.72
51,75.488,83.83
52,77.828,83.47
53,77.172,85.76
54,75.40400000000001,84.92
55,76.262,82.13000000000001
56,75.42,85.64
57,76.6,86.38
58,75.17,85.34
59,75.624,85.05
60,75.344,77.24
61,81.47999999999999,93.47
62,82.65599999999999,93.92
63,81.364,93.88
64,81.426,94.17
65,85.114,93.65
66,83.078,93.78999999999999
67,85.792,94.39999999999999
68,82.816,94.53
69,84.126,93.32000000000001
70,82.978,93.44
71,83.346,93.58999999999999
72,83.394,94.33
73,85.038,93.31
74,83.196,93.77
75,82.55,92.97999999999999
76,82.57,92.93
77,84.74199999999999,94.1
78,83.938,93.63
79,82.098,92.60000000000001
80,82.44399999999999,93.04
81,83.178,93.15
82,83.65599999999999,92.21000000000001
83,84.296,92.72
84,83.518,92.85
85,84.758,92.93
86,84.932,92.25
87,83.41199999999999,91.28
88,82.818,92.75999999999999
89,84.224,94.0
90,84.792,93.51
91,84.344,92.81
92,83.002,92.62
93,82.612,91.11
94,84.122,92.5
95,82.826,93.32000000000001
96,84.478,93.21000000000001
97,84.678,92.83
98,83.616,92.35
99,85.854,93.45
100,84.372,94.26
101,84.378,92.61
102,83.75,93.60000000000001
103,83.514,91.74
104,84.526,93.14
105,84.55,93.54
106,85.126,93.91000000000001
107,83.5,94.06
108,83.616,92.84
109,83.98400000000001,91.84
110,83.316,93.67
111,83.588,90.91
112,84.822,92.38
113,85.47,93.73
114,85.212,94.08999999999999
115,83.91,93.30000000000001
116,83.57,94.01
117,83.13199999999999,94.41000000000001
118,84.612,93.67999999999999
119,84.646,93.47
120,84.418,92.36999999999999
121,87.46199999999999,96.3
122,89.73,96.41999999999999
123,89.34,96.36
124,88.39,96.41
125,87.67200000000001,96.57
126,88.168,96.6
127,89.744,96.63000000000001
128,89.03999999999999,96.61
129,88.018,96.66
130,87.168,96.7
131,89.276,96.6
132,88.888,96.64
133,86.404,96.81
134,88.684,96.56
135,87.554,96.64
136,88.666,96.49
137,89.01599999999999,96.77
138,89.854,96.58
139,89.03999999999999,96.78999999999999
140,90.61,96.58
141,88.33,96.64
142,87.586,96.61999999999999
143,89.852,96.7
144,88.288,96.52
145,88.506,96.47
146,86.97200000000001,96.83
147,87.126,96.55
148,89.468,96.48
149,89.62599999999999,96.47
150,87.69,96.67999999999999
151,89.072,96.37
152,88.24,96.76
153,88.008,96.63000000000001
154,90.25,96.56
155,88.70400000000001,96.6
156,89.77000000000001,96.43
157,88.64999999999999,96.5
158,90.92,96.17
159,88.224,96.44
160,89.012,96.67
161,85.682,96.96000000000001
162,89.428,96.95
163,88.222,96.89
164,89.35600000000001,97.04
165,88.478,96.86
166,89.77199999999999,97.05
167,88.354,97.07000000000001
168,89.762,96.97
169,89.13,96.96000000000001
170,87.976,96.93
171,88.44800000000001,97.18
172,88.386,97.00999999999999
173,88.1,97.13000000000001
174,88.544,97.00999999999999
175,89.63,96.96000000000001
176,91.594,96.99
177,90.51599999999999,97.1
178,88.156,97.06
179,89.432,96.94
180,89.21,96.97
181,87.478,97.07000000000001
182,91.01599999999999,97.0
183,87.976,97.06
184,90.71000000000001,97.16
185,90.38199999999999,97.11
186,90.10000000000001,97.15
187,90.538,96.97
188,89.994,97.04
189,90.132,97.04
190,90.256,97.18
191,88.55199999999999,97.09
192,90.16999999999999,97.08
193,88.214,96.97
194,90.572,97.03
195,91.446,97.16
196,89.484,97.23
197,90.886,97.08
198,91.85600000000001,97.2
199,89.312,97.19
